,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
170,2400.0,tcell_10,PD1p,0.34813824831448126,400.0,!units[616.5515165284295 micrometer],!units[836.4011964276616 micrometer],tumor_tcell_20230626.211422
171,2400.0,tcell_11,PD1p,1.501022086716689,44.10000000000002,!units[565.3190122791539 micrometer],!units[861.4627894385658 micrometer],tumor_tcell_20230626.211422
172,2400.0,tcell_12,PD1p,0.06739482976835663,32.500000000000014,!units[561.6033204064786 micrometer],!units[339.6521375753893 micrometer],tumor_tcell_20230626.211422
173,2400.0,tcell_13,PD1p,0.08776363023267991,10.200000000000005,!units[725.0115218966744 micrometer],!units[386.5267475461073 micrometer],tumor_tcell_20230626.211422
174,2400.0,tcell_14,PD1p,0.4273167922758963,400.0,!units[836.347418800253 micrometer],!units[489.5497524221423 micrometer],tumor_tcell_20230626.211422
175,2400.0,tcell_15,PD1p,0.04032330087728326,400.0,!units[372.65813702891 micrometer],!units[490.47721813840485 micrometer],tumor_tcell_20230626.211422
176,2400.0,tcell_16,PD1p,0.0486255182399947,400.0,!units[690.8335793995866 micrometer],!units[814.8002099341379 micrometer],tumor_tcell_20230626.211422
177,2400.0,tcell_17,PD1p,0.0032489564199992362,74.10000000000002,!units[359.43294507991334 micrometer],!units[726.8573855757309 micrometer],tumor_tcell_20230626.211422
178,2400.0,tcell_18,PD1p,0.16541721258116193,0.0,!units[470.71774359967117 micrometer],!units[813.032809180848 micrometer],tumor_tcell_20230626.211422
179,2400.0,tcell_19,PD1p,0.028103180443499964,400.0,!units[805.8944413373473 micrometer],!units[719.3679590625477 micrometer],tumor_tcell_20230626.211422
180,2400.0,tcell_20,PD1p,0.5579367380553308,400.0,!units[804.7805660069322 micrometer],!units[624.1727726655948 micrometer],tumor_tcell_20230626.211422
181,2400.0,tcell_21,PD1p,0.2717389270192548,3.800000000000002,!units[838.1291581565895 micrometer],!units[646.9851124977004 micrometer],tumor_tcell_20230626.211422
182,2400.0,tcell_22,PD1p,0.1688984568391351,400.0,!units[359.47631786537966 micrometer],!units[529.5783006603973 micrometer],tumor_tcell_20230626.211422
183,2400.0,tcell_23,PD1p,0.21093865957919555,400.0,!units[853.3348515504329 micrometer],!units[670.6651206548968 micrometer],tumor_tcell_20230626.211422
184,2400.0,tcell_24,PD1p,0.7988967424924499,400.0,!units[860.1973534261268 micrometer],!units[528.0466688285173 micrometer],tumor_tcell_20230626.211422
185,2400.0,tcell_25,PD1p,0.18249766233506928,400.0,!units[464.3749037927546 micrometer],!units[775.7574701064173 micrometer],tumor_tcell_20230626.211422
186,2400.0,tcell_26,PD1p,0.04539462408163969,0.0,!units[576.3596216199072 micrometer],!units[305.26272571754805 micrometer],tumor_tcell_20230626.211422
187,2400.0,tcell_27,PD1p,0.29039286490376215,58.800000000000026,!units[819.8672339492458 micrometer],!units[498.644501609897 micrometer],tumor_tcell_20230626.211422
188,2400.0,tcell_28,PD1p,0.28946297712867175,44.10000000000002,!units[629.1361397413291 micrometer],!units[840.8210376961455 micrometer],tumor_tcell_20230626.211422
189,2400.0,tcell_29,PD1p,0.19230581410696912,400.0,!units[547.8643850203554 micrometer],!units[813.2787161543589 micrometer],tumor_tcell_20230626.211422
190,2400.0,tcell_30,PD1p,0.05608665372591693,0.0,!units[747.7084596468133 micrometer],!units[430.24331693890997 micrometer],tumor_tcell_20230626.211422
191,2400.0,tcell_31,PD1p,0.659208211668409,6.5000000000000036,!units[818.6436855034734 micrometer],!units[559.3628554687124 micrometer],tumor_tcell_20230626.211422
